"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0006417","regulation of translation","18/154","475/18860",0.0378947368421053,4.64087491455913,7.29205561052167,6.79131871228187e-08,0.000180037859062592,0.000154842066640027,"KHDRBS1/BTG2/METTL5/EIF2AK3/ZFP36/CNOT1/ZFP36L1/PPP1R15A/TOB1/EIF5/RARA/MALSU1/RBM3/AKT2/USP16/DDX1/EIF1/DHFR",18
"BP","GO:1900153","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","4/154","12/18860",0.333333333333333,40.8225108225108,12.5203321714935,2.01115333618245e-06,0.00198653680905143,0.00170852656531017,"ZFP36/CNOT1/ZFP36L1/TOB1",4
"BP","GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening","4/154","13/18860",0.307692307692308,37.6823176823177,12.0042920913997,2.88654494618187e-06,0.00198653680905143,0.00170852656531017,"BTG2/ZFP36/CNOT1/TOB1",4
"BP","GO:0051607","defense response to virus","13/154","334/18860",0.0389221556886228,4.76670036550276,6.30191735495339,3.71305783652198e-06,0.00198653680905143,0.00170852656531017,"ZC3HAV1/TRIM25/TRIM13/TRAF3/TNFAIP3/TICAM1/UBE2W/TRIM7/DDX1/POLR3H/MAVS/SETD2/GPR146",13
"BP","GO:0030522","intracellular receptor signaling pathway","15/154","447/18860",0.0335570469798658,4.10964874052122,6.03715109693481,4.01830984204686e-06,0.00198653680905143,0.00170852656531017,"NR4A1/ZC3HAV1/NR4A2/TRIM25/RNF34/KLF2/TNFAIP3/CNOT1/CSNK1A1/RARA/TICAM1/NFKBIA/RNF170/JUND/MAVS",15
"BP","GO:0140467","integrated stress response signaling","6/154","53/18860",0.113207547169811,13.8642489585886,8.50926079869295,4.49612254028991e-06,0.00198653680905143,0.00170852656531017,"JUN/DDIT3/EIF2AK3/PPP1R15A/AKT2/FOS",6
"BP","GO:0060211","regulation of nuclear-transcribed mRNA poly(A) tail shortening","4/154","15/18860",0.266666666666667,32.6580086580087,11.1291085352571,5.44090843570038e-06,0.0020605497518631,0.00177218160477098,"BTG2/ZFP36/CNOT1/TOB1",4
"BP","GO:0009615","response to virus","14/154","445/18860",0.0314606741573034,3.85291113381001,5.52600932525846,1.76196502496595e-05,0.0058387116014809,0.00502160032115294,"ZC3HAV1/TRIM25/TRIM13/HES1/TRAF3/TNFAIP3/TICAM1/UBE2W/TRIM7/DDX1/POLR3H/MAVS/SETD2/GPR146",14
"BP","GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","4/154","23/18860",0.173913043478261,21.2987012987013,8.83803114426945,3.35442908161543e-05,0.00849501159105875,0.00730615859208373,"ZFP36/CNOT1/ZFP36L1/TOB1",4
"BP","GO:0006446","regulation of translational initiation","7/154","111/18860",0.0630630630630631,7.72317772317772,6.44579148265177,3.52490107512811e-05,0.00849501159105875,0.00730615859208373,"KHDRBS1/EIF2AK3/PPP1R15A/EIF5/AKT2/DDX1/EIF1",7
