"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","5/82","36/9369",0.138888888888889,15.8689024390244,8.39870203405068,1.38362611251335e-05,0.00159615413693013,0.00108867655956029,"6742/246243/5983/2237/5984",5
"Human Diseases","Infectious disease: viral","hsa05162","Measles","8/82","136/9369",0.0588235294117647,6.72094691535151,6.31478543822535,2.31670731078174e-05,0.00159615413693013,0.00108867655956029,"3725/7187/7128/4792/1027/208/2353/57506",8
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","8/82","137/9369",0.0583941605839416,6.67188890867011,6.28395036695919,2.44309306672979e-05,0.00159615413693013,0.00108867655956029,"3725/4170/4616/1649/9451/4792/208/2353",8
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","11/82","300/9369",0.0366666666666667,4.18939024390244,5.27571385622883,5.57688035714409e-05,0.00236530655435099,0.00161328642536292,"3725/3164/4616/1843/1649/2321/1942/6788/208/3727/2353",11
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","9/82","205/9369",0.0439024390243902,5.01612135633551,5.46303348225998,7.09753840738829e-05,0.00236530655435099,0.00161328642536292,"3725/4616/3280/7187/7128/4792/1027/208/57506",9
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","7/82","119/9369",0.0588235294117647,6.72094691535151,5.90151039922536,7.72956664776599e-05,0.00236530655435099,0.00161328642536292,"3725/7187/7128/4792/9530/208/2353",7
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","8/82","163/9369",0.049079754601227,5.60766122998653,5.57611217927722,8.44752340839639e-05,0.00236530655435099,0.00161328642536292,"3725/7187/148022/4792/7529/208/2353/57506",8
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","9/82","216/9369",0.0416666666666667,4.76067073170732,5.25415764261653,0.000106083124187748,0.00259903654259981,0.00177270483840052,"3725/1649/9451/7187/148022/4792/208/2353/817",9
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","6/82","94/9369",0.0638297872340425,7.29294239750908,5.76173617672287,0.00016471961791961,0.00358722723469373,0.00244671245330883,"3725/7187/7128/4792/3727/2353",6
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","7/82","142/9369",0.0492957746478873,5.63234283751288,5.22645541784433,0.000233439399862853,0.00457541223731191,0.00312071618764024,"3725/1843/10365/208/2353/7295/8878",7
