"ID","adj.P.Val","P.Value","t","B","logFC","GenBank.Accession","Platform_SPOTID","Gene.symbol","Gene.title"
"201464_x_at",6.49052813951288e-19,1.18711077082997e-23,14.1802572725371,42.9360909238973,2.54590477467838,"BG491844","","JUN","Jun proto-oncogene, AP-1 transcription factor subunit"
"201465_s_at",1.92880045597965e-18,7.05551149878246e-23,13.7474092459581,41.2310595588887,3.12790698349727,"BC002646","","JUN","Jun proto-oncogene, AP-1 transcription factor subunit"
"214185_at",1.19584776763787e-17,6.56157897194988e-22,13.2135601836418,39.0933059727083,1.7078887781171,"AW592227","","KHDRBS1","KH RNA binding domain containing, signal transduction associated 1"
"201466_s_at",2.26918577510414e-17,1.66012676733728e-21,12.9937413807544,38.2020962727593,2.98592156355816,"NM_002228","","JUN","Jun proto-oncogene, AP-1 transcription factor subunit"
"202340_x_at",3.24298194668872e-17,2.96568993752969e-21,12.8570244856605,37.644643374296,2.58231263042467,"NM_002135","","NR4A1","nuclear receptor subfamily 4 group A member 1"
"200797_s_at",1.02636647103585e-16,1.21090466509583e-20,12.5276333455675,36.2917986865955,1.05934722698673,"AI275690","","MCL1","BCL2 family apoptosis regulator"
"202672_s_at",1.02636647103585e-16,1.31404943708293e-20,12.5085828886841,36.2131399469145,3.71978120687354,"NM_001674","","ATF3","activating transcription factor 3"
"230815_at",2.3368771913448e-16,3.4192990454062e-20,12.2864187186889,35.2925340532633,2.12955233126776,"","","LOC389765","kinesin family member 27 pseudogene"
"207551_s_at",6.61003249074728e-16,1.08807119189256e-19,-12.0191795782567,34.1772580387051,-1.02640953135363,"NM_006800","","MSL3","male-specific lethal 3 homolog (Drosophila)"
"213281_at",1.4102266533654e-15,2.7539034283802e-19,11.8060575750159,33.2818438989554,2.47435096671819,"","","JUN","Jun proto-oncogene, AP-1 transcription factor subunit"
"225634_at",1.4102266533654e-15,2.83721868989839e-19,-11.79923512634,33.253094290568,-1.71423392070414,"BG533558","","ZC3HAV1","zinc finger CCCH-type containing, antiviral 1"
"233223_at",2.38329296353857e-15,5.23082131915188e-19,11.6594444545122,32.6628728836911,2.66653584682357,"AK000850","","",""
"209304_x_at",2.44162886488214e-15,5.80542757082174e-19,11.6356727826314,32.5622890502929,2.24396643515534,"AF087853","","GADD45B","growth arrest and DNA damage inducible beta"
"228019_s_at",2.60871315652581e-15,6.67983249956313e-19,-11.603693513391,32.4268791453959,-1.18545293044106,"AV758614","","MRPS18C","mitochondrial ribosomal protein S18C"
"204621_s_at",3.52249252481263e-15,9.66390267438307e-19,11.519626072928,32.0703822137428,3.00525251740047,"AI935096","","NR4A2","nuclear receptor subfamily 4 group A member 2"
"204622_x_at",4.37463842690771e-15,1.28018682817601e-18,11.4557214186202,31.7988799631847,2.97747117641374,"NM_006186","","NR4A2","nuclear receptor subfamily 4 group A member 2"
"224806_at",4.93719187530153e-15,1.53511224289211e-18,-11.4144988061364,31.6235137657574,-1.4104483474637,"BE563152","","TRIM25","tripartite motif containing 25"
"236571_at",4.9756139386742e-15,1.63806220203266e-18,11.3997731045824,31.5608254472798,2.36952177093677,"","","",""
"207574_s_at",6.03320042586145e-15,2.09658542462492e-18,11.3438271727444,31.3224535152671,2.43255322719204,"NM_015675","","GADD45B","growth arrest and DNA damage inducible beta"
"216248_s_at",6.04656904551753e-15,2.21182223887244e-18,11.3317066420086,31.2707681139649,2.73038733661046,"S77154","","NR4A2","nuclear receptor subfamily 4 group A member 2"
"1562650_at",6.07258193667163e-15,2.33240458472984e-18,11.3196851690101,31.2194901606748,1.63730513492896,"AL833444","","FRYL","FRY like transcription coactivator"
"201041_s_at",9.98743542971769e-15,4.01872116056313e-18,11.1966482982422,30.6938255145426,2.4571500427541,"NM_004417","","DUSP1","dual specificity phosphatase 1"
"201845_s_at",1.21640535951064e-14,5.11702300297113e-18,11.1421100414352,30.4603289663781,0.917967795424671,"AB029551","","RYBP","RING1 and YY1 binding protein"
"238496_at",1.53918700415726e-14,6.75637642428429e-18,11.0794510673634,30.1917032602417,1.19011588262295,"AA741074","","WHSC1L1","Wolf-Hirschhorn syndrome candidate 1-like 1"
"235959_at",1.83394202812007e-14,8.3856517060817e-18,11.0307972976671,29.9828564299877,1.66098504437393,"AI424238","","",""
"204730_at",4.14602479715391e-14,1.97158929540012e-17,-10.8387103022308,29.1561372904503,-2.34927687925683,"NM_014747","","RIMS3","regulating synaptic membrane exocytosis 3"
"236288_at",5.15607016298878e-14,2.5462074878957e-17,-10.7813767896468,28.9087249102654,-1.33456155925839,"AW572402","","RNF34","ring finger protein 34"
"213051_at",5.66151056096952e-14,2.91598231874379e-17,-10.7510038206039,28.7775371896699,-1.68352745124746,"AI133727","","ZC3HAV1","zinc finger CCCH-type containing, antiviral 1"
"201236_s_at",5.66151056096952e-14,3.00290454994268e-17,10.7444267872911,28.7491187799054,1.45038751750039,"NM_006763","","BTG2","BTG anti-proliferation factor 2"
"227866_at",6.32174358497624e-14,3.46872075993209e-17,10.712148475425,28.6095939860313,2.01957444232787,"AI743557","","TIAM2","T-cell lymphoma invasion and metastasis 2"
"1569142_at",7.22549784155309e-14,4.09676146480377e-17,-10.6749227074728,28.4485713062853,-1.557902260274,"BC029514","","TRIM13","tripartite motif containing 13"
"213598_at",9.71131402969511e-14,5.68380519342009e-17,-10.6017485744447,28.1317068223615,-0.933259476149102,"W87688","","",""
"209383_at",1.06125799828572e-13,6.40539806921425e-17,10.5750603766524,28.016027630441,1.69074701070726,"BC003637","","DDIT3","DNA damage inducible transcript 3"
"221570_s_at",1.32352410626491e-13,8.23041968230582e-17,-10.5191198415836,27.7733648794257,-0.626811457301322,"AF201938","","METTL5","methyltransferase like 5"
"1559399_s_at",1.4336715418186e-13,9.17759560377704e-17,-10.4948294762138,27.6679173633886,-1.52375203714052,"BC015986","","ZCCHC10","zinc finger CCHC-type containing 10"
"235322_at",1.45110845276006e-13,9.5546235572679e-17,-10.4858541652916,27.6289424437201,-1.30934792333645,"BF038869","","LOC101927151","uncharacterized LOC101927151"
"227761_at",1.51523550354511e-13,1.02539942626738e-16,-10.4701087540925,27.560553137615,-0.978091987060111,"AW235548","","MYO5A","myosin VA"
"219371_s_at",1.78019394802728e-13,1.23726328349404e-16,10.4282648548329,27.378711416367,1.99724559354957,"NM_016270","","KLF2","Kruppel like factor 2"
"203574_at",2.56744463808877e-13,1.83137340439803e-16,10.3409833552872,26.9989750619049,2.05860184205387,"NM_005384","","NFIL3","nuclear factor, interleukin 3 regulated"
"202499_s_at",2.7249141317126e-13,1.99353571593057e-16,10.3221154970827,26.9168107597682,3.0037906825683,"NM_006931","","SLC2A3","solute carrier family 2 member 3"
"235739_at",2.94705838472591e-13,2.20995690486991e-16,10.2992030295027,26.8169978052506,1.86266995257924,"AA523939","","",""
"201289_at",3.65998281269774e-13,2.81150943087893e-16,10.2457110752682,26.5838229969363,2.91549823608353,"NM_001554","","CYR61","cysteine rich angiogenic inducer 61"
"218696_at",4.3684477277094e-13,3.43563332951997e-16,10.2011977621545,26.3896304433591,0.741977730024978,"NM_004836","","EIF2AK3","eukaryotic translation initiation factor 2 alpha kinase 3"
"226755_at",6.59343645152418e-13,5.34624024332446e-16,-10.1031130058802,25.9612443755293,-2.48563730826698,"","","MIR205HG","MIR205 host gene"
"203395_s_at",6.59343645152418e-13,5.42669666792114e-16,10.0998020111183,25.9467722555518,1.74251053775956,"NM_005524","","HES1","hes family bHLH transcription factor 1"
"221434_s_at",6.65584784363178e-13,5.6028208550591e-16,-10.0927226597584,25.9158264896093,-1.12292005077595,"NM_031210","","SLIRP","SRA stem-loop interacting RNA binding protein"
"239086_at",6.65584784363178e-13,5.72153358300308e-16,-10.0880757917278,25.8955119732589,-1.6453123710929,"BE501810","","IDNK","IDNK, gluconokinase"
"222088_s_at",6.66813332211997e-13,5.85405394534538e-16,10.0830013123007,25.8733264663368,2.46660397766745,"","","SLC2A14///SLC2A3","solute carrier family 2 member 14///solute carrier family 2 member 3"
"227717_at",7.1104312413506e-13,6.42016828977173e-16,-10.0625472672425,25.7838848070206,-1.09500014502576,"BF939317","","ARHGEF37","Rho guanine nucleotide exchange factor 37"
"230523_at",7.1104312413506e-13,6.64646126485809e-16,-10.0548730735062,25.7503200122195,-1.80276942644731,"AA603472","","QSOX1","quiescin sulfhydryl oxidase 1"
"201531_at",7.1104312413506e-13,6.72234560819607e-16,10.0523581914651,25.739319789662,2.25573960242545,"NM_003407","","ZFP36","ZFP36 ring finger protein"
"219312_s_at",7.1104312413506e-13,6.76255006036089e-16,10.0510372894659,25.7335419338571,1.38579780546682,"NM_023929","","ZBTB10","zinc finger and BTB domain containing 10"
"222162_s_at",7.74698607227736e-13,7.63424443758073e-16,10.0241841619207,25.6160574849062,2.23065478822014,"","","ADAMTS1","ADAM metallopeptidase with thrombospondin type 1 motif 1"
"218371_s_at",7.74698607227736e-13,7.65134426891591e-16,10.0236887121969,25.6138894245531,1.09172083732865,"NR_003272","","PSPC1","paraspeckle component 1"
"212723_at",9.15322487556348e-13,9.20763361967977e-16,9.98269900822572,25.4344674821957,1.29611105474707,"","","JMJD6","arginine demethylase and lysine hydroxylase"
"1555832_s_at",9.44915030819888e-13,9.67814206235276e-16,9.97166938150437,25.3861703319995,1.15562711936768,"BU683415","","KLF6","Kruppel like factor 6"
"218166_s_at",1.01965246535814e-12,1.06301217238983e-15,9.95090935055601,25.2952450049698,1.57666536279469,"NM_016578","","RSF1","remodeling and spacing factor 1"
"218541_s_at",1.15873057880067e-12,1.22919750471767e-15,9.91877876535911,25.1544675023603,2.16844065267603,"NM_020130","","C8orf4","chromosome 8 open reading frame 4"
"229252_at",1.35275751520961e-12,1.45976576858467e-15,-9.88076663760005,24.9878419278301,-2.05539932754333,"","","ATG9B","autophagy related 9B"
"218851_s_at",1.5442437535682e-12,1.6988766231617e-15,9.8472397365629,24.8408082816767,1.71552964913193,"NM_018383","","SFT2D3///WDR33","SFT2 domain containing 3///WD repeat domain 33"
"204595_s_at",1.5442437535682e-12,1.72288740681592e-15,9.84413848126995,24.8272043858323,3.35481594156596,"AI300520","","STC1","stanniocalcin 1"
"225204_at",1.61424542826994e-12,1.83051150530839e-15,9.83074994622755,24.7684683821346,1.05459669079313,"AA521311","","PPTC7","PTC7 protein phosphatase homolog"
"202591_s_at",1.93845746619039e-12,2.23361354128933e-15,-9.78678791133347,24.5755360015335,-0.891563088878218,"NM_003143","","SSBP1","single stranded DNA binding protein 1"
"221985_at",2.38795050344594e-12,2.79522326877988e-15,9.73726932113187,24.3580943249406,2.42275398632396,"","","KLHL24","kelch like family member 24"
"211143_x_at",2.74792236289256e-12,3.2668487167447e-15,9.70286162283799,24.2069317291738,1.27752006679703,"D49728","","NR4A1","nuclear receptor subfamily 4 group A member 1"
"243039_at",2.83300654620012e-12,3.41981585823883e-15,-9.69276514183973,24.1625637856637,-1.61438067372365,"AI042377","","",""
"221571_at",2.83352372558613e-12,3.47226501352119e-15,-9.68940719534271,24.1478065168308,-1.01247609488447,"AI721219","","TRAF3","TNF receptor associated factor 3"
"212991_at",3.44637134321163e-12,4.28629632077533e-15,-9.6429518900172,23.9435916610882,-1.92265263296018,"AL137520","","FBXO9","F-box protein 9"
"201694_s_at",3.56588022151201e-12,4.50015062248429e-15,9.63221574012837,23.8963814936272,1.65979224157221,"NM_001964","","EGR1","early growth response 1"
"228702_at",3.57416222464295e-12,4.62535396879881e-15,9.62616496463549,23.8697719860603,1.965673939879,"AL569506","","LINC-PINT","long intergenic non-protein coding RNA, p53 induced transcript"
"225376_at",3.57416222464295e-12,4.64134463556743e-15,-9.6254040196622,23.8664254561195,-1.00283349752303,"BG480592","","GID8","GID complex subunit 8 homolog"
"226481_at",4.00479420239384e-12,5.27380306488078e-15,9.59724109758455,23.7425500962564,0.965359469175644,"W74375","","DCAF1","DDB1 and CUL4 associated factor 1"
"238477_at",4.52801409331442e-12,6.04563381457618e-15,-9.56713772047633,23.6100999969969,-1.09406269707182,"BF674236","","KIF1C","kinesin family member 1C"
"224606_at",4.99650527188685e-12,6.76253114073391e-15,9.54244515717475,23.5014269355915,1.25139186165574,"BG250721","","KLF6","Kruppel like factor 6"
"1556129_at",5.63713201012075e-12,7.73269137190775e-15,-9.51291178798727,23.3714151779292,-1.02145180287276,"AF086148","","LOC642533","uncharacterized LOC642533"
"1557828_a_at",6.06656609893176e-12,8.52159004462282e-15,-9.49151489195445,23.2771992322036,-1.34541374499688,"","","TMEM267","transmembrane protein 267"
"212997_s_at",6.06656609893176e-12,8.54367790796059e-15,9.49094478105574,23.274688635507,0.535519892471506,"AU151689","","TLK2","tousled like kinase 2"
"229501_s_at",6.07021832809843e-12,8.65984507712259e-15,-9.48797047853011,23.2615904910547,-0.773287446169398,"","","USP8","ubiquitin specific peptidase 8"
"212558_at",6.14512213191037e-12,8.87909736480877e-15,9.48246415630164,23.2373409787015,1.71820179408275,"BF508662","","SPRY1","sprouty RTK signaling antagonist 1"
